sample,image,grid,roifile,mpp
TCGA-AZ-4615-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4615-01Z-00-DX1.ecabbbb1-c1ed-4f60-b44f-b07eaa177208.svs-205.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4615-01Z-00-DX1.ecabbbb1-c1ed-4f60-b44f-b07eaa177208.svs-205.oid0.json,0.252
TCGA-AZ-4616-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4616-01Z-00-DX1.0a0f6eaa-4db6-4479-a9df-f09387f555b1.svs-206.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4616-01Z-00-DX1.0a0f6eaa-4db6-4479-a9df-f09387f555b1.svs-206.oid0.json,0.252
TCGA-AZ-4682-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4682-01Z-00-DX1.abca2345-ed4a-4f64-af1d-0e60f81b1288-355.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4682-01Z-00-DX1.abca2345-ed4a-4f64-af1d-0e60f81b1288-355.oid0.json,0.252
TCGA-AZ-4684-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4684-01Z-00-DX1.1c29deb2-b0e2-4788-a3e8-83ecab7f9208.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4684-01Z-00-DX1.1c29deb2-b0e2-4788-a3e8-83ecab7f9208.oid0.json,0.252
TCGA-AZ-5407-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-5407-01Z-00-DX1.5218a617-9817-44f4-8f00-8e9e3d04bd70.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-5407-01Z-00-DX1.5218a617-9817-44f4-8f00-8e9e3d04bd70.oid0.json,0.252
TCGA-AZ-6598-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6598-01A-01-BS1.5e2ccbdb-4180-488b-ae4d-8a45cc2a0ff0.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6598-01A-01-BS1.5e2ccbdb-4180-488b-ae4d-8a45cc2a0ff0.oid0.json,0.252
TCGA-AZ-6598-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6598-01A-01-TS1.9ac5e30c-4d1d-4284-b793-04c9587c8415.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6598-01A-01-TS1.9ac5e30c-4d1d-4284-b793-04c9587c8415.oid0.json,0.252
TCGA-AZ-6598-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6598-01Z-00-DX1.1fc4cd61-4524-413b-b36d-ad438785bc06-357.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6598-01Z-00-DX1.1fc4cd61-4524-413b-b36d-ad438785bc06-357.oid0.json,0.252
TCGA-AZ-6599-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6599-01A-01-TS1.97e6dd36-0ece-4a31-8af5-bac951d79ad1.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6599-01A-01-TS1.97e6dd36-0ece-4a31-8af5-bac951d79ad1.oid0.json,0.252
TCGA-AZ-6599-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6599-01Z-00-DX1.9d6aae3d-6934-4e96-8699-db41e1194f29-358.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6599-01Z-00-DX1.9d6aae3d-6934-4e96-8699-db41e1194f29-358.oid0.json,0.252
TCGA-AZ-6600-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6600-01A-01-BS1.5c772252-6a7b-4165-b59f-ae4212a70e5d.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6600-01A-01-BS1.5c772252-6a7b-4165-b59f-ae4212a70e5d.oid0.json,0.252
